"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"TC0100003780.mm.2",8.79729401429577,8.37422228845175,9.04924548638598,8.46504109633814,8.78085198992609,8.13811045665316,8.61252924426757,8.3547369322457
"TC0Y00000061.mm.2",3.39421494985317,2.65652459810075,3.12390398723451,2.97209073473145,2.80049856146216,3.16351903039643,3.50611548167643,3.12757516347827
"TC0X00000988.mm.2",6.84026219446019,7.25215542852038,5.91458014159132,5.57520640785263,6.42936015997347,6.98194104606254,6.47103095594797,6.07042259067101
"TC0700002345.mm.2",2.76318966804582,2.79030845963617,3.3458495100304,2.99790331288041,3.20537212604629,3.25110579907823,3.29257933500941,3.09803119972885
"TC1900000401.mm.2",10.7757551406937,10.4419702239698,10.4561903951687,10.0142239451562,10.7473653089565,10.4164913051437,10.4384691192667,9.63231095481228
"TC0400000386.mm.2",3.8705283949456,3.66543333051689,3.21730537044713,3.82582028471227,4.09773613092067,3.17711498513301,3.70592878917969,3.57811869645071
"TC0800003209.mm.2",3.31122610594233,3.52087716026451,3.42106404560082,3.15488340541049,3.04070701176875,3.05680460720759,3.46260865108546,3.30957039076184
"TC0X00001817.mm.2",4.77047910153071,4.55467484719847,4.34265601927664,4.61017193066007,5.05612773917698,4.27786869660391,4.32851134627239,4.68646825353154
"TC0200004148.mm.2",5.72977174289074,5.74842204717183,4.7857340673171,5.56329600672907,5.3553793807812,5.27581764618521,4.6819999896434,5.54779143469534
"TC0100000591.mm.2",4.16285677620228,4.29636631640255,4.35239948739285,3.98697225776839,3.80637314180626,3.64420519484141,3.6793585502446,4.1714610530866
"TC0300000913.mm.2",4.03392836816811,4.54858959674272,3.89545864498917,4.78118770917023,4.63954257139005,4.31743125965941,4.19876891614067,4.68064906854943
"TC0700002561.mm.2",3.05686543113473,2.87078789511734,3.27396879482261,2.77382395885231,2.62813827068597,2.9181191734877,3.23410868510814,3.24620083401714
"TC0700002528.mm.2",4.05302066033788,3.9713009414444,3.56970792075682,3.46400429856117,3.4575723412411,3.77898073219922,4.31501325210061,3.59391061478051
"TC1200001344.mm.2",5.83459469801916,5.6440031886513,6.43802313751888,6.11531766575867,5.6787368174652,6.19166240196534,6.1190631813322,5.12163863606534
"TC0700004360.mm.2",5.39881003036444,4.85230188125404,5.79426108271593,5.2383619811488,4.94083069056342,4.94888766104255,4.80774858164954,4.88772581026726
"TC0300002435.mm.2",4.07867098670265,4.05314800319655,4.37493029225327,3.67382032127652,4.38796248021554,3.87006772936842,4.78178762786835,4.30340365512748
"TC1000003198.mm.2",3.86423675289748,3.34087361629764,3.04054197432053,3.57181815848644,3.27964271355726,3.74833706203551,4.37906561260602,3.52015408256693
"TC0700000470.mm.2",3.53352418440441,3.52145414159524,2.78742487713354,3.30344463310901,3.25421315461466,3.22606487935757,2.55552540079081,2.87097463399058
"TC0200001745.mm.2",5.4066336484963,4.88461871679442,4.84655175370713,5.40489538246318,4.4900492064705,4.66479156952225,5.14389291896493,5.05137312261263
"TC0300000899.mm.2",6.63853891977855,6.70922525080386,6.24157795816918,6.4421917279095,6.33710454602404,6.26314848479713,5.97376798466628,5.91035303306607
"TC0700002794.mm.2",3.5646869806521,3.63170425305168,2.66840203781046,2.95645641217863,3.01059004000896,2.71663672589197,3.27244703821613,2.78806549882748
"TC1700002128.mm.2",6.15587691226475,6.15622574552785,6.64398854292072,6.74992838984364,6.16655689405795,6.59585147891247,6.70582931574084,7.03877661268868
"TC0200005490.mm.2",7.75352253958386,7.58057439248375,7.13546106964474,7.26388678330577,7.36614953071266,7.56746320689215,6.85864276560043,6.06685764919359
"TC1700000580.mm.2",7.94549839284068,7.84095871742012,7.53936262283853,7.40613266235363,7.6035937399079,7.95517261814911,7.4414214742136,7.11900194178856
"TC0700001851.mm.2",8.89175796689642,9.00257164636335,8.40179642630971,8.9387414492592,9.07290439583367,8.80734074780226,8.45819967724463,8.67489309327815
"TC0700001935.mm.2",3.15793233824806,3.05014348932349,3.33117633300855,3.08231440020892,3.21525581320521,2.79541651878708,2.63219936374498,3.45998358525678
"TC0200005331.mm.2",9.42488633912278,9.17914893901966,8.99694157633403,9.04045953142415,9.41270081287165,9.30428393627596,8.91205521976876,8.14446550394963
"TC0700002684.mm.2",4.66863395910035,3.78056793866501,4.27973999637693,3.97024308713543,4.48766545579496,4.55098433808222,3.92910388398322,3.30853450315256
"TC0900003179.mm.2",9.30659785275571,8.66658665539505,8.54847267078128,8.18878222374529,9.10962468743477,9.40011229758293,8.88318342280349,8.89131681770743
"TC1400001224.mm.2",4.06506106701084,4.44867589558909,5.00900007707579,4.65722211035486,4.4600680996413,4.57327896405265,4.95991646891811,5.02303130234485
"TC0700000620.mm.2",4.7412426188524,4.25399244360315,4.3074838206659,4.2790713368728,4.77716796605512,4.67889220711932,4.88088164959773,4.34751399501621
"TC0600003213.mm.2",3.3404852333833,2.87008339870887,3.25373429271835,3.5500636875511,2.96623862905422,3.09112092506998,3.56059282780789,3.71792088272387
"TC0700000629.mm.2",6.01708814123136,6.09962114016967,5.71508894074562,6.1489981821324,6.19065582861414,5.85648993849694,5.48298045184276,6.38665866645296
"TC0200002488.mm.2",4.92201109533633,4.78034397708121,4.50783881578333,4.79033523271488,4.43179810298914,4.86379363658137,4.21888383459363,4.7623174148155
"TC1700002661.mm.2",4.56932999982375,4.88219592627166,4.77413392015276,5.07491890217577,4.59925863383279,4.48769481921948,4.94207024598898,5.06893418656276
"TC1700001345.mm.2",5.21778140955317,5.44233896326288,5.05796434871208,5.19142232171652,5.26856335687515,5.31555534153888,4.41523610361233,4.35044105592502
"TC0800003219.mm.2",5.49081490113531,4.96133468344383,5.49229267778177,5.00979690764128,4.87330956186267,5.14808992937776,5.44922087536445,4.50378046338017
"TSUnmapped00000062.mm.2",4.02983381197968,4.79714452486036,4.12006704357054,4.23447910050074,4.65688299861558,4.02499563402415,4.07966355802807,4.49624177509689
"TC0400002107.mm.2",5.72324732925528,6.04033064155905,6.11144476396756,6.01971398543792,6.31224246755516,5.78688379965059,6.19351306515529,6.31050891072277
"TC0400004071.mm.2",8.75987407039308,8.51795389043527,8.749582606904,8.23501545543422,8.62055849865035,8.42500753414392,8.81369781996999,8.23697530269844
"TC0400001158.mm.2",7.33524373437249,7.74921453682956,6.95761083930192,7.00925663941587,7.96142422189295,7.17103213151504,6.92781540454488,6.25616064050935
"TC0400004222.mm.2",6.77179029763762,7.00869788570755,5.74532981373096,6.24931296956823,7.44713864297034,6.71200629659081,5.74937318181088,5.70687570735042
"TC0400000498.mm.2",7.22914425540976,7.66439780465142,8.83496967571725,8.47868570354447,7.28633755100833,7.66244674790848,8.92225261108938,8.93336881086448
"TC0100001833.mm.2",6.37674822222902,7.00704856929984,7.08553223282089,7.37008452420932,6.88528342717236,7.31717328153548,6.6101366339898,7.70221381822586
"TC0800002561.mm.2",4.02399556019743,3.57611342635134,3.84821484936309,3.64396721287089,3.97797151235053,4.18751942260433,3.19636167010691,4.26628796788686
"TC1700000802.mm.2",2.70922555420438,2.93165525430521,2.73175648195487,2.49949995261301,2.74834623388266,2.87387670021539,2.96965051979369,2.48303482907285
"TC1700000812.mm.2",3.81357572869691,3.53194341113003,3.1765623915584,3.78255445815929,4.0286643872008,3.89493652443971,4.13529523830349,3.99702719422775
"TC0400001637.mm.2",5.41644958065997,6.13922987454184,4.53367269045858,5.98319593941295,5.78485287521177,6.49080910684496,5.25399578429084,5.49379031860253
"TC0400003670.mm.2",7.44428655779413,7.87399789693675,8.12886160736348,8.00608866350537,7.98186460435247,7.73554923956294,8.59695058260506,8.14455271059843
"TC1700002349.mm.2",5.07933710637115,4.67365596356384,6.14401914696019,5.85785367489352,5.68447508181295,5.83268125637248,5.76953510636786,5.82424936890335
"TC1000002419.mm.2",3.46661030849946,3.79499614999646,4.26715025710031,4.13690940236347,3.51315925927649,3.98367365887382,3.57466700758924,3.6181543601943
"TC0400002799.mm.2",7.48266799564761,7.51643092397189,8.7364391339324,8.81110981368658,7.21165509578844,7.89201807390429,8.40090545210745,9.09749858402395
"TC1000002435.mm.2",6.1865911511784,6.03210037333821,6.20796051563706,6.33100610860249,6.14310253564229,5.78813443420775,5.76530765805788,6.48348108570072
"TC0400004058.mm.2",7.26407955660428,7.33111397266604,7.55718932956334,8.34549108626891,7.91687162475623,8.18340645283437,7.96206153279382,8.71455374304233
"TC0400000133.mm.2",8.35272348657687,8.41555588498533,6.61331545445181,6.56745909171992,7.18299200553925,7.66273100437749,5.62679222518253,5.28722616951686
"TC0400001615.mm.2",6.90717199464763,6.46750349119433,7.15733649683184,7.20392379650071,6.85894994890409,6.82085852709458,7.81695090778886,7.34662169023304
"TC0400000435.mm.2",6.77948030044416,7.6186060774201,7.82893582539637,8.31519981443861,5.88574992288583,7.89225598816488,8.14629732011497,8.84874797818419
"TC1700001399.mm.2",4.44231541644417,3.81693900256909,4.47599651006677,4.55829455642882,4.10869503038284,3.85813406727464,4.33550586428597,4.34282382843293
"TC1200000256.mm.2",4.3009234127358,4.01453713982654,4.30532392258457,4.30137153895638,3.69440472387527,3.76721306187089,3.8319030579715,3.97455078884035
"TC1000000549.mm.2",4.68312793911247,5.26620889787927,4.83718849326743,5.2377181904634,5.43717784197009,5.16410996593481,4.58533324008172,5.17142804546422
"TC1700000277.mm.2",5.29549035356043,4.55652919695836,5.14598341559677,4.44034483325004,4.5892282030546,4.59070195291851,4.56080718137909,4.98035240043347
"TC1700001381.mm.2",11.3255773544387,11.5895151146313,11.361497303176,11.4010866924797,11.6065415624238,11.0938837916599,11.4932908642727,11.115150030085
"TC0700002363.mm.2",3.42033191528899,3.10400314605155,3.48786000820004,3.06959283215714,2.88439509355912,3.40336265984382,3.05269154098972,2.67457929600713
"TC0800002564.mm.2",6.00663224008879,6.92221852760188,6.11384896630619,6.4185062223116,6.89909422096716,6.78790748094269,6.3744405897849,6.98973766762873
"TC0400001472.mm.2",7.66208415648983,8.15286300907342,7.65648198493966,8.30418265891325,7.24510218401698,8.59297816852076,7.92799782535887,8.63056976281877
"TC0400003680.mm.2",6.54295994613534,7.00065263268187,8.28517348779134,8.9039529896122,7.5362080398609,7.00937613245409,9.22529607194736,8.8962588366805
"TC0400002108.mm.2",5.6406860751412,5.81975210062597,6.02944943911162,6.44673947527798,5.8130402909498,6.15668254843274,5.68133921790962,6.46096848185503
"TC1300002253.mm.2",7.21052923572553,7.22924735455872,6.83955725234519,6.73868405434772,7.16003894801596,7.27280030661294,7.07406943882736,6.75964210448024
"TC1600001516.mm.2",6.96594646145893,7.32522746493691,6.9072375223559,6.47226094410426,6.10517971777296,7.07654893770833,6.93618899437979,6.91774621311079
"TC1700001881.mm.2",6.74378657940921,7.63535896480484,6.77957899181892,6.47890579108625,7.26268236694582,7.20481428209613,6.55361307482263,6.71338556359833
"TC0500003087.mm.2",10.7864215931228,10.5900759991112,9.76149164841136,9.6410681431148,10.8082564002728,10.7811193230165,10.3485089199664,10.0633406843637
"TC0900002287.mm.2",4.91877522552196,4.57292572670279,5.10035581597099,4.55270390771327,4.34648830548835,4.18712078531817,4.7275658818338,4.62270265584814
"TC0800000762.mm.2",4.31255733734388,4.68223042503275,4.20032802406597,4.42891339339924,4.8099697776709,4.53260365162684,4.19767393243556,4.72962367717101
"TC1300002090.mm.2",5.48885334052705,5.47152807537906,4.75527213479805,4.30698388195123,5.32444635268626,4.98969613393045,4.2991971520121,4.80230601593868
"TC0100001392.mm.2",4.80179523105661,5.19306743926962,4.99655851905072,4.82470348214651,5.32490307335515,5.27445238476936,4.63512948576197,4.55872891574777
"TC1100003071.mm.2",5.26736173971239,5.14808181623417,5.5519571123034,4.9392805072561,4.79539540183061,4.62099891411938,4.85745411962254,6.07650620585427
"TC0700003801.mm.2",5.14083237338574,6.30918179373813,4.35555065361172,4.48891415161424,5.24979223026422,4.8673100689119,4.76604117863395,4.88780170527885
"TC0400002075.mm.2",5.20573718641529,5.04130655088242,4.73439709165641,5.31554086983947,5.05037267543457,5.2145183976469,4.59963377148546,5.29697209098172
"TC0700002482.mm.2",4.61961296352948,5.54072671317998,4.42454668036091,4.9403078685726,4.82793110051426,4.69098261944699,5.39259390965659,5.56193504796
"TC1400000937.mm.2",3.18990687916703,3.03148869214335,3.08827479747321,3.10643372443934,3.40029508930734,2.89008150557678,3.64241166291014,3.49928147297098
"TC0500001974.mm.2",7.0037151011608,6.87020474996575,6.21223175715134,6.78985779811511,6.40439174727102,6.64618219581692,6.36491683279503,6.85239027833071
"TC1900001683.mm.2",4.87995673153567,4.55372161579341,5.54366345480415,4.85057302701731,5.03574766141562,4.68702216641962,5.25660545880576,4.29034652284271
"TC0400003995.mm.2",5.22560111480414,4.9546623564663,5.38653287510976,5.27819298746074,4.95998141624142,4.75606636182242,5.42905227399085,4.8516286119654
"TC1000002491.mm.2",7.91006238350083,8.02701205936831,8.2153905536206,8.4665655875051,8.49666526725566,8.18199034093323,7.23317070118532,8.35180526931345
"TC0500001087.mm.2",11.5196576517684,11.2074353839437,10.1406732162336,10.2037311155464,11.3244533982711,11.6429922903516,10.4596347566385,10.5060769000666
"TC0500000193.mm.2",3.5759744058305,4.29038895263232,3.84015343817237,4.03976100375908,3.65008128559443,3.50183954138459,3.87083033364862,4.03601045280165
"TC1400000421.mm.2",3.28791030346564,3.76263984177022,3.95205353138541,3.8262592844859,3.9075246547366,3.64799870762391,3.88900393112844,3.29398578670796
"TC0700001549.mm.2",3.34875716382549,3.31855997007971,3.41506001117084,3.567565568156,3.66094823243249,3.67306918428119,3.08887828251936,3.1584066204461
"TC0500002410.mm.2",3.79094033778637,4.17408272478436,3.96957698838123,4.25181787229054,4.27204393554195,3.62034506868463,4.16470676034155,3.84765180884097
"TC0800000015.mm.2",6.88395852422499,6.90051206104832,6.87711870209491,6.886332142137,6.65840095533691,6.28015384642774,6.78660973310297,6.37242035923966
"TC1700001660.mm.2",4.29104015013144,4.11880151855484,4.47722429850895,4.64139166858286,3.93735181319353,3.94614590867734,4.33310835556565,4.16257435371419
"TC1500000583.mm.2",6.71477961817315,6.94716055995008,6.20558025608832,6.26363017409257,6.53060818698343,6.67614016203136,7.24138165735714,6.96795792264513
